Tournament,Round,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Attendance,Referee,Goals
FA Cup 2022-23,Fourth Round,29 January 2023,16:30 GMT,Wrexham (5),3-3,Sheffield United (2),0-0,Racecourse Ground, Wrexham,9909,Dean Whitestone,"J. Jones 50'; O'Connor 61'; Mullin 86' | McBurnie 2'; Norwood 65'; Egan 90+5'"
FA Cup 2022-23,Fourth Round,7 February 2023,19:45 GMT,Sheffield United (2),3-1,Wrexham (5),0-0,Bramall Lane, Sheffield,20310,Leigh Doughty,"Ahmedhodžić 50'; Sharp 90+4'; Berge 90+6' | Mullin 59'(pen.)"
FA Cup 2022-23,Fourth Round,30 January 2023,19:45 GMT,Derby County (3),0-2,West Ham United (1),0-0,Pride Park, Derby,25308,Thomas Bramall,"Bowen 10'; Antonio 50'"
FA Cup 2022-23,Fifth Round,28 February 2023,19:15 GMT,Stoke City (2),0-1,Brighton & Hove Albion (1),0-0,Bet365 Stadium, Stoke-on-Trent,12949,Darren Bond,"Ferguson 30'"
FA Cup 2022-23,Fifth Round,28 February 2023,19:30 GMT,Leicester City (1),1-2,Blackburn Rovers (2),0-0,King Power Stadium, Leicester,23379,Tim Robinson,"Iheanacho 67' | Dolan 33'; Szmodics 52'"
FA Cup 2022-23,Fifth Round,28 February 2023,19:45 GMT,Fulham (1),2-0,Leeds United (1),0-0,Craven Cottage, London,19359,Chris Kavanagh,"Palhinha 21'; Solomon 56'"
FA Cup 2022-23,Fifth Round,28 February 2023,20:00 GMT,Bristol City (2),0-3,Manchester City (1),0-0,Ashton Gate Stadium, Bristol,25713,Andre Marriner,"Foden 7', 74'; De Bruyne 81'"
FA Cup 2022-23,Fifth Round,1 March 2023,19:15 GMT,Southampton (1),1-2,Grimsby Town (4),0-0,St Mary's Stadium, Southampton,27584,Thomas Bramall,"Ćaleta-Car 65' | Holohan 45+1'(pen.), 50'(pen.)"
FA Cup 2022-23,Fifth Round,1 March 2023,19:30 GMT,Burnley (2),1-0,Fleetwood Town (3),0-0,Turf Moor, Burnley,15987,Dean Whitestone,"Roberts 90'"
FA Cup 2022-23,Fifth Round,1 March 2023,19:45 GMT,Manchester United (1),3-1,West Ham United (1),0-0,Old Trafford, Trafford,72571,Michael Salisbury,"Aguerd 77'(o.g.); Garnacho 90'; Fred 90+5' | Benrahma 54'"
FA Cup 2022-23,Fifth Round,1 March 2023,19:55 GMT,Sheffield United (2),1-0,Tottenham Hotspur (1),0-0,Bramall Lane, Sheffield,28308,John Brooks,"Ndiaye 79'"
FA Cup 2022-23,Quarter-finals,18 March 2023,17:45 GMT,Manchester City (1),6-0,Burnley (2),0-0,City of Manchester Stadium, Manchester,51688,John Brooks,"Haaland 32', 35', 59'; Álvarez 62', 73'; Palmer 68'"
FA Cup 2022-23,Quarter-finals,19 March 2023,12:00 GMT,Sheffield United (2),3-2,Blackburn Rovers (2),0-0,Bramall Lane, Sheffield,25814,Tim Robinson,"Gallagher 28'(o.g.); McBurnie 81'; Doyle 90+1' | Brereton 21'(pen.); Szmodics 60'"
FA Cup 2022-23,Quarter-finals,19 March 2023,14:15 GMT,Brighton & Hove Albion (1),5-0,Grimsby Town (4),0-0,Falmer Stadium, Brighton & Hove,29415,Jarred Gillett,"Undav 6'; Ferguson 51', 70'; March 82'; Mitoma 90'"
FA Cup 2022-23,Quarter-finals,19 March 2023,15:30 GMT,Manchester United (1),4-3 (a.e.t.),Liverpool (1),0-0,Old Trafford, Manchester,72291,John Brooks,"McTominay 10'; Antony 87'; Rashford 112'; Amad 120+1' | Mac Allister 44'; Salah 45+2'; Elliott 105'"
FA Cup 2022-23,Semi-finals,22 April 2023,16:45 BST,Manchester City (1),3-0,Sheffield United (2),0-0,Wembley Stadium, London,69603,Stuart Attwell,"Mahrez 43'(pen.), 61', 66'"
FA Cup 2022-23,Semi-finals,23 April 2023,16:30 BST,Brighton & Hove Albion (1),0-0 (6-7 p),Manchester United (1),0-0,Wembley Stadium, London,81445,Craig Pawson,""
FA Cup 2022-23,Final,3 June 2023,15:00 BST,Manchester City (1),2-1,Manchester United (1),0-0,Wembley Stadium, London,83179,Paul Tierney,"Gündoğan 1', 51' | Fernandes 33'(pen.)"
